Year,Age_group,Total,Male,Female
2016,All ages,"36109487","17916496","18192991"
2016,0-4,"1942791","993580","949211"
2016,5-9,"2003223","1019960","983263"
2016,10-14,"1919810","978544","941266"
2016,15-19,"2083843","1074818","1009025"
2016,20-24,"2387191","1242113","1145078"
2016,25-29,"2466106","1264270","1201836"
2016,30-34,"2488660","1249488","1239172"
2016,35-39,"2410025","1193244","1216781"
2016,40-44,"2342178","1160414","1181764"
2016,45-49,"2431118","1210028","1221090"
2016,50-54,"2734564","1367448","1367116"
2016,55-59,"2665850","1324747","1341103"
2016,60-64,"2313160","1135977","1177183"
2016,65-69,"1969181","957632","1011549"
2016,70-74,"1423187","682973","740214"
2016,75-79,"1014301","468088","546213"
2016,80-84,"742579","323647","418932"
2016,85-89,"480677","185348","295329"
2016,90-94,"223290","68987","154303"
2016,95-99,"59110","13791","45319"
2016,100,"8643","1399","7244"
2017,All ages,"36545295","18136222","18409073"
2017,0-4,"1941873","994520","947353"
2017,5-9,"2021564","1030316","991248"
2017,10-14,"1948681","992477","956204"
2017,15-19,"2090598","1076108","1014490"
2017,20-24,"2401419","1250319","1151100"
2017,25-29,"2513657","1290055","1223602"
2017,30-34,"2515087","1266458","1248629"
2017,35-39,"2455926","1217891","1238035"
2017,40-44,"2353731","1164185","1189546"
2017,45-49,"2418092","1202542","1215550"
2017,50-54,"2664893","1330959","1333934"
2017,55-59,"2696687","1340431","1356256"
2017,60-64,"2388059","1172722","1215337"
2017,65-69,"1996039","969894","1026145"
2017,70-74,"1533342","736101","797241"
2017,75-79,"1057693","489682","568011"
2017,80-84,"751645","329295","422350"
2017,85-89,"493690","193051","300639"
2017,90-94,"229680","72577","157103"
2017,95-99,"63937","15106","48831"
2017,100,"9002","1533","7469"
2018,All ages,"36565178","18406337","18658841"
2018,0-4,"1940561","994308","946253"
2018,5-9,"2033313","1038162","995151"
2018,10-14,"1992389","1014167","978222"
2018,15-19,"2106395","1082239","1024156"
2018,20-24,"2436459","1270494","1165965"
2018,25-29,"2575089","1325044","1250045"
2018,30-34,"2553299","1289327","1263972"
2018,35-39,"2517339","1251700","1265639"
2018,40-44,"2381576","1178063","1203513"
2018,45-49,"2407567","1196875","1210692"
2018,50-54,"2580128","1286609","1293519"
2018,55-59,"2728012","1356012","1372000"
2018,60-64,"2457490","1208304","1249186"
2018,65-69,"2036232","988509","1047723"
2018,70-74,"1625617","779387","846230"
2018,75-79,"1109688","515941","593747"
2018,80-84,"766502","337170","429332"
2018,85-89,"503779","199663","304116"
2018,90-94,"236508","76477","160031"
2018,95-99,"67778","16251","51527"
2018,100,"9457","1635","7822"
2019,All ages,"37593384","18678507","18914877"
2019,0-4,"1932463","990580","941883"
2019,5-9,"2041032","1042768","998264"
2019,10-14,"2032988","1035230","997758"
2019,15-19,"2114539","1083225","1031314"
2019,20-24,"2475546","1292739","1182807"
2019,25-29,"2626058","1353893","1272165"
2019,30-34,"2605101","1319176","1285925"
2019,35-39,"2581173","1288783","1292390"
2019,40-44,"2422043","1198765","1223278"
2019,45-49,"2397851","1190901","1206950"
2019,50-54,"2504437","1246625","1257812"
2019,55-59,"2751377","1368185","1383192"
2019,60-64,"2513706","1236748","1276958"
2019,65-69,"2097784","1017348","1080436"
2019,70-74,"1707580","817561","890019"
2019,75-79,"1164798","543317","621481"
2019,80-84,"788451","348047","440404"
2019,85-89,"511996","205031","306965"
2019,90-94,"242294","80215","162079"
2019,95-99,"71787","17577","54210"
2019,100,"10380","1793","8587"
2020,All ages,"38005238","18885261","19119977"
2020,0-4,"1,921,944","985452","936492"
2020,5-9,"2,044,603","1045953","998650"
2020,10-14,"2,072,100","1055313","1016787"
2020,15-19,"2,100,865","1074091","1026774"
2020,20-24,"2,482,802","1295347","1187455"
2020,25-29,"2,645,240","1365844","1279396"
2020,30-34,"2,661,723","1350274","1311449"
2020,35-39,"2,630,680","1317432","1313248"
2020,40-44,"2,464,247","1220034","1244213"
2020,45-49,"2,390,116","1185148","1204968"
2020,50-54,"2,449,915","1217865","1232050"
2020,55-59,"2,744,896","1364677","1380219"
2020,60-64,"2,560,241","1260206","1300035"
2020,65-69,"2,167,275","1050581","1116694"
2020,70-74,"1,786,622","854293","932329"
2020,75-79,"1,218,303","569696","648607"
2020,80-84,"811,370","359314","452056"
2020,85-89,"517,710","208810","308900"
2020,90-94,"248,593","84178","164415"
2020,95-99,"74,476","18597","55879"
2020,100,"11,517","2156","9361"
